time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-17T05:46:26.320Z,19.4634990692139,-155.650161743164,-3.10999989509583,3.1,ml,46,73,,0.370000005,hv,hv72429282,2021-04-17T06:45:45.250Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.49,0.289999992,3.66,36,automatic,hv,hv
2021-04-17T04:46:26.140Z,17.973,-66.977,6,2.54,md,21,177,0.0673,0.08,pr,pr2021107003,2021-04-17T05:57:46.108Z,"6 km WSW of Fuig, Puerto Rico",earthquake,0.28,0.19,0.27,13,reviewed,pr,pr
2021-04-17T03:50:57.187Z,-30.4545,-72.0753,10,4.9,mww,,94,0.438,1.04,us,us6000e2aa,2021-04-17T04:50:43.130Z,"85 km W of Ovalle, Chile",earthquake,3,1.9,0.093,11,reviewed,us,us
2021-04-17T02:32:54.205Z,11.7756,-87.1013,49.51,4.3,mb,,174,0.869,1.03,us,us6000e29z,2021-04-17T02:51:49.040Z,"near the coast of Nicaragua",earthquake,3.8,12.3,0.128,17,reviewed,us,us
2021-04-17T02:12:51.340Z,32.6258,-109.1551,16.04,2.7,ml,,73,0.09,1.25,us,us6000e29u,2021-04-17T04:12:41.271Z,"9 km SW of Franklin, Arizona",earthquake,3.7,8.2,0.085,18,reviewed,us,us
2021-04-17T01:38:47.313Z,60.5634,-147.9467,12.9,2.9,ml,,,,0.58,ak,ak0214wzbtbd,2021-04-17T01:57:55.040Z,"46 km ESE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-17T01:27:21.617Z,21.511,145.9753,10,5.3,mb,,58,6.254,0.82,us,us6000e29p,2021-04-17T05:37:24.076Z,"Mariana Islands region",earthquake,9,1.8,0.028,439,reviewed,us,us
2021-04-17T01:04:53.776Z,5.1158,95.4508,100.74,5,mww,,50,1.494,1.13,us,us6000e29d,2021-04-17T02:23:46.858Z,"48 km SSE of Banda Aceh, Indonesia",earthquake,8.2,6.3,0.098,10,reviewed,us,us
2021-04-17T01:01:37.585Z,31.65836951,-104.2965295,7.674047852000001,3,ml,36,59,0.1160025171,0.2,tx,tx2021hltj,2021-04-17T01:15:41.519Z,"57 km S of Whites City, New Mexico",earthquake,0.8837226958,1.456810672,0.1,18,reviewed,tx,tx
2021-04-17T00:46:06.763Z,-14.9452,-178.2952,400.34,4.3,mb,,116,0.655,0.89,us,us6000e29a,2021-04-17T01:03:12.040Z,"72 km SSW of Alo, Wallis and Futuna",earthquake,15.3,9.3,0.148,13,reviewed,us,us
2021-04-17T00:30:37.140Z,17.9966,-66.8263,17,2.62,md,19,186,0.2196,0.16,pr,pr2021107000,2021-04-17T01:24:16.300Z,"0 km WNW of Indios, Puerto Rico",earthquake,0.64,0.57,0.15,10,reviewed,pr,pr
2021-04-16T22:57:05.424Z,-44.7699,167.0624,18.4,4.4,mwr,,103,0.697,0.79,us,us6000e28w,2021-04-16T23:27:52.322Z,"88 km NW of Te Anau, New Zealand",earthquake,6.9,6.2,0.054,33,reviewed,us,us
2021-04-16T22:13:09.573Z,-28.5689,-176.2551,10,5.2,mb,,58,11.975,1.25,us,us6000e28n,2021-04-16T22:32:25.040Z,"Kermadec Islands region",earthquake,11.1,1.9,0.045,164,reviewed,us,us
2021-04-16T20:55:09.244Z,3.5835,126.8291,18.9,5.4,mww,,65,2.844,1.15,us,us6000e280,2021-04-16T22:57:55.215Z,"243 km NNW of Tobelo, Indonesia",earthquake,4.3,3.7,0.073,18,reviewed,us,us
2021-04-16T20:00:19.160Z,-30.317,-177.8339,10,5,mb,,114,7.905,0.85,us,us6000e27t,2021-04-16T21:37:49.040Z,"Kermadec Islands, New Zealand",earthquake,13,1.8,0.094,41,reviewed,us,us
2021-04-16T19:47:09.487Z,-62.2459,-58.0379,10,4.9,mb,,134,0.292,1.47,us,us6000e277,2021-04-16T20:06:15.040Z,"South Shetland Islands",earthquake,7.6,1.9,0.108,27,reviewed,us,us
2021-04-16T18:15:59.400Z,63.3889,-151.2167,2.3,2.5,ml,,,,0.81,ak,ak0214vls0p7,2021-04-16T18:59:57.040Z,"30 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-16T16:40:30.444Z,-21.7242,-179.3719,578.57,5.4,mww,,30,4.642,1.12,us,us6000e24m,2021-04-16T22:14:16.354Z,"Fiji region",earthquake,9.9,5.4,0.098,10,reviewed,us,us
2021-04-16T16:21:49.617Z,23.9297,122.0837,19.25,4.5,mb,,104,0.508,0.6,us,us6000e24g,2021-04-16T16:59:11.040Z,"49 km E of Hualien City, Taiwan",earthquake,3.7,4.7,0.064,72,reviewed,us,us
2021-04-16T12:17:53.963Z,4.7902,125.5193,163.21,4.5,mb,,84,2.265,0.89,us,us6000e21i,2021-04-16T12:46:52.040Z,"68 km S of Sarangani, Philippines",earthquake,7.6,7.2,0.071,61,reviewed,us,us
2021-04-16T11:51:36.538Z,38.2886,142.1671,35,4.5,mb,,150,2.639,1.14,us,us6000e21g,2021-04-16T14:00:56.040Z,"77 km E of Ishinomaki, Japan",earthquake,6.2,2,0.15,16,reviewed,us,us
