objectid,park_name,court_number,comments,data_source,lat,lng
102,Chamounix Tennis Courts,4,,Pictometry 2020,39.99979341002462,-75.20085567309822
103,Chamounix Tennis Courts,3,,Pictometry 2020,40.00004521115989,-75.20060072249265
104,Chamounix Tennis Courts,2,,Pictometry 2020,40.00030776671887,-75.20035776464512
105,Chamounix Tennis Courts,1,,Pictometry 2020,40.000574050880374,-75.20011094519025
106,Chamounix Tennis Courts,7,,Pictometry 2020,39.99900437624086,-75.20182387448108
107,Chamounix Tennis Courts,8,,Pictometry 2020,39.99879102359128,-75.20213564765959
108,Chamounix Tennis Courts,9,,Pictometry 2020,39.998581893255334,-75.20246585829219
109,Chamounix Tennis Courts,10,,Pictometry 2020,39.9983919001137,-75.20279906851106
110,Chamounix Tennis Courts,11,,Pictometry 2020,39.99820509413181,-75.20314703548652
111,Chamounix Tennis Courts,12,,Pictometry 2020,39.99803568427024,-75.20350550672211
112,A Albert Cherashore Playground,1,,"NATUREPHL, Pictometry 2020",40.037870837027995,-75.13707314719208
113,Albert W Christy Sr Recreation Center,1,,Pictometry 2020,39.94889737272961,-75.23507985225802
114,Disston Park,3,,NATUREPHL and Pictometry 2020,40.01875850028606,-75.04854315683107
115,Disston Park,1,,NATUREPHL and Pictometry 2020,40.018863369664004,-75.04884595599975
116,East Poplar Playground,1,,"NATUREPHL, Pictometry 2020",39.967338165807995,-75.15093241833817
117,Eastwick Regional Playground,2,,"NATUREPHL, Pictometry 2020",39.90488771565451,-75.25046156759734
118,Eastwick Regional Playground,1,,"NATUREPHL, Pictometry 2020",39.904991554509664,-75.25035869945744
119,Eastwick Regional Playground,4,,"NATUREPHL, Pictometry 2020",39.90466342937654,-75.25067100775337
120,Eastwick Regional Playground,5,,"NATUREPHL, Pictometry 2020",39.90453100576887,-75.25077492556562
121,Fernhill Park,1,,"NATUREPHL, Pictometry 2020",40.020726946985896,-75.1685506411193
122,Fernhill Park,3,,"NATUREPHL, Pictometry 2020",40.02058151132196,-75.16881507901884
123,Charles M Finley Playground,1,,"NATUREPHL, Pictometry 2020",40.06401628442163,-75.16993573458973
124,Charles M Finley Playground,3,,"NATUREPHL, Pictometry 2020",40.064229397109685,-75.16965924694149
125,Charles M Finley Playground,4,,"NATUREPHL, Pictometry 2020",40.06432556516234,-75.16953613512534
126,Fisher Park,1,,Pictometry 2020,40.043777236846005,-75.13145736340205
127,Fisher Park,3,,Pictometry 2020,40.04373531649129,-75.13113484360451
128,Fox Chase School Playground,1,,NATUREPHL and Pictometry 2020,40.074385587141194,-75.0816012159422
129,Fox Chase School Playground,3,,NATUREPHL and Pictometry 2020,40.07422768175186,-75.08132037969679
130,Franklin Delano Roosevelt Park,14,,Pictometry 2020,39.89840248414862,-75.18529637439006
131,Franklin Delano Roosevelt Park,15,,Pictometry 2020,39.898367797937745,-75.18545089006302
132,Franklin Delano Roosevelt Park,12,,Pictometry 2020,39.89846821274322,-75.18498438470067
133,Franklin Delano Roosevelt Park,11,,Pictometry 2020,39.898496839350216,-75.18482545418013
134,Franklin Delano Roosevelt Park,4,,"NATUREPHL, Pictometry 2020",39.904394744903854,-75.17607161814082
135,Franklin Delano Roosevelt Park,3,,"NATUREPHL, Pictometry 2020",39.90441477890317,-75.17590216150757
136,Franklin Delano Roosevelt Park,2,,"NATUREPHL, Pictometry 2020",39.90443362249802,-75.17573274866376
137,Franklin Delano Roosevelt Park,1,,"NATUREPHL, Pictometry 2020",39.90445365599655,-75.17556329183381
138,Franklin Delano Roosevelt Park,10,,"NATUREPHL, Pictometry 2020",39.90409155432081,-75.1758401080081
139,Franklin Delano Roosevelt Park,9,,"NATUREPHL, Pictometry 2020",39.90410801579408,-75.17567078730757
140,Franklin Delano Roosevelt Park,8,,"NATUREPHL, Pictometry 2020",39.9041281186375,-75.17550442303296
141,Franklin Delano Roosevelt Park,7,,"NATUREPHL, Pictometry 2020",39.90414454488149,-75.17533355569417
142,Franklin Delano Roosevelt Park,6,,"NATUREPHL, Pictometry 2020",39.904165768818004,-75.17516405436481
143,Garden Court,2,,"NATUREPHL, Pictometry 2020",39.953120439817376,-75.21640065362047
144,Garland and Bingham Fields,0,,Pictometry 2020,40.03376415674423,-75.11018191079577
145,Tomlinson and Gifford Playground,2,,NATUREPHL and Pictometry 2020,40.115427101884904,-75.02412944967305
146,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.03556064636345,-75.22485456884472
147,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.03549609953633,-75.22500893477732
148,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.03569572867847,-75.2245471639713
149,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.0357591179136,-75.22439439096055
150,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.035829653201354,-75.22424135169366
151,Gustine Recreation Center,0,,Pictometry 2020,40.012661103497706,-75.20348026205862
152,Gustine Recreation Center,0,,Pictometry 2020,40.012538067863574,-75.2033608653326
153,Gustine Recreation Center,0,,Pictometry 2020,40.01248773810026,-75.20318758719559
154,Gustine Recreation Center,0,,Pictometry 2020,40.0124308010024,-75.20298510507551
155,Gustine Recreation Center,0,,Pictometry 2020,40.01238285274309,-75.20281173811266
156,Gustine Recreation Center,0,,Pictometry 2020,40.01229028799791,-75.20245402940893
157,Gustine Recreation Center,0,,Pictometry 2020,40.01204981893026,-75.20295134541723
158,Gustine Recreation Center,0,,Pictometry 2020,40.01199717520362,-75.20278125608057
159,Gustine Recreation Center,0,,Pictometry 2020,40.01194922663574,-75.20260789036872
160,Happy Hollow Recreation Center,1,,"NATUREPHL, Pictometry 2020",40.02331510872819,-75.16635987605179
161,Officer Robert Hayes Memorial Playground,3,,NATUREPHL and Pictometry 2020,40.09142707643912,-75.02169305552562
162,Samuel F Houston Playground,1,,Pictometry 2020,40.06983170252522,-75.2319499674433
163,Hunting Park,2,,"NATUREPHL, Pictometry 2020",40.015145986565706,-75.14172009303087
164,Hunting Park,3,,"NATUREPHL, Pictometry 2020",40.014839503978585,-75.14195510241953
165,Hunting Park,4,,"NATUREPHL, Pictometry 2020",40.01482284167165,-75.14178831726755
166,Hunting Park,5,,"NATUREPHL, Pictometry 2020",40.01451358419955,-75.14202715117831
167,Hunting Park,6,,"NATUREPHL, Pictometry 2020",40.01449532447273,-75.14185298832209
168,J Francis Finnegan Playground,2,,"NATUREPHL, Pictometry 2020",39.91407503587552,-75.23213910997815
169,J Francis Finnegan Playground,4,,"NATUREPHL, Pictometry 2020",39.9142469549851,-75.23189127285764
1,Franklin Delano Roosevelt Park,5,,"NATUREPHL, Pictometry 2020",39.90437947386701,-75.17624089437481
2,Hunting Park,1,,"NATUREPHL, Pictometry 2020",40.01516849210943,-75.14189223470936
3,Fisher Park,2,,Pictometry 2020,40.043759236632305,-75.1312952137298
4,Eastwick Regional Playground,3,,"NATUREPHL, Pictometry 2020",39.904766246857186,-75.25057591661084
5,Wisters Woods Park,0,,Pictometry 2020,40.03453072021958,-75.158252959052
6,Wissinoming Park,1,,NATUREPHL and Pictometry 2020,40.025158835336825,-75.06999680188183
7,Fernhill Park,2,,"NATUREPHL, Pictometry 2020",40.02065480732939,-75.16868206300602
8,Disston Park,2,,NATUREPHL and Pictometry 2020,40.0188085531279,-75.04869465109168
9,Jim Junod Recreation Center,1,,Pictometry 2020,40.103517098036946,-74.96978874777777
10,Michael Palmer Playground,1,,Pictometry 2020,40.09483872996692,-74.98928967639137
11,Susan Gorgas Park (School District),0,SCHOOL DISTRICT MAINTAINS/NOT PPR,Pictometry 2020,40.03563118226484,-75.22470153050342
12,J Francis Finnegan Playground,3,,"NATUREPHL, Pictometry 2020",39.914163309221465,-75.23201201050496
13,Lawncrest Recreation Center,2,,NATUREPHL and Pictometry 2020,40.04646154360064,-75.10111496211705
14,Joseph F Vogt Playground,1,,NATUREPHL and Pictometry 2020,40.028384829643,-75.04791917174481
15,Fox Chase School Playground,2,,NATUREPHL and Pictometry 2020,40.07430594905579,-75.08145694593279
16,Torresdale Recreation Center,1,,NATUREPHL and Pictometry 2020,40.05917605804047,-74.99809459202444
17,William B Simons Recreation Center,1,,"NATUREPHL, Pictometry 2020",40.061734210870014,-75.15830611609992
18,Olney Recreation Center,1,,"NATUREPHL, Pictometry 2020",40.042273471525014,-75.1164113514799
19,Charles A Russo Playground,2,,Pictometry 2020,40.02902209503388,-75.03377733222963
20,Max Myers Playground,4,,NATUREPHL and Pictometry 2020,40.03907980743231,-75.07156765344726
21,Gustine Recreation Center,0,,Pictometry 2020,40.012684430571326,-75.20356464557894
22,William A Lackman Memorial Playground,1,,NATUREPHL and Pictometry 2020,40.10004694316224,-75.03343372892776
